Repository,File_Path,File_Type,Commit_SHA,Parent_SHA,Message,Diff_Myers,Diff_Hist,Discrepancy
repositories/httpie,README.md,README,e7dc59e0dbcee5ebb584cfa053a89404b2b9778f,b966efa17d837dc62c23d5f8064e184e22b14c2e,Updated README.,"diff --git a/README.md b/README.md
index b7c06cc..ff1eaf8 100644
--- a/README.md
+++ b/README.md
@@ -8,8 +8,31 @@ HTTPie is a CLI frontend for [python-requests](python-requests.org).
     pip install httpie
 
 
-### Screenshot
+### Usage
 
-![httpie](https://github.com/jkbr/httpie/raw/master/httpie.png)
+    httpie [flags] METHOD [header:value data-field-name=value]* URL
+
+The default request `Content-Type` in `application/json` and data fields are automatically serialized as a JSON `Object`:
+","diff --git a/README.md b/README.md
index b7c06cc..ff1eaf8 100644
--- a/README.md
+++ b/README.md
@@ -8,8 +8,31 @@ HTTPie is a CLI frontend for [python-requests](python-requests.org).
     pip install httpie
 
 
+### Usage
+
+    httpie [flags] METHOD [header:value data-field-name=value]* URL
+
+The default request `Content-Type` in `application/json` and data fields are automatically serialized as a JSON `Object`:
+
+    httpie PATCH  name=John api.example.com/person/1
+
+That will issue the fol",Yes
repositories/httpie,README.md,README,4c522bf93290bdae433668b807448e3840251804,e7dc59e0dbcee5ebb584cfa053a89404b2b9778f,Update README.md,"diff --git a/README.md b/README.md
index ff1eaf8..2eb30c9 100644
--- a/README.md
+++ b/README.md
@@ -12,11 +12,11 @@ HTTPie is a CLI frontend for [python-requests](python-requests.org).
 
     httpie [flags] METHOD [header:value data-field-name=value]* URL
 
-The default request `Content-Type` in `application/json` and data fields are automatically serialized as a JSON `Object`:
+The default request `Content-Type` in `application/json` and data fields are automatically serialized as a JSON `Obje","diff --git a/README.md b/README.md
index ff1eaf8..2eb30c9 100644
--- a/README.md
+++ b/README.md
@@ -12,11 +12,11 @@ HTTPie is a CLI frontend for [python-requests](python-requests.org).
 
     httpie [flags] METHOD [header:value data-field-name=value]* URL
 
-The default request `Content-Type` in `application/json` and data fields are automatically serialized as a JSON `Object`:
+The default request `Content-Type` in `application/json` and data fields are automatically serialized as a JSON `Obje",No
repositories/httpie,README.md,README,0373a49d749beac20ad49d05b05391ba1460b4de,4c522bf93290bdae433668b807448e3840251804,Update README.md,"diff --git a/README.md b/README.md
index 2eb30c9..bc96484 100644
--- a/README.md
+++ b/README.md
@@ -1,6 +1,6 @@
 ## HTTPie: cURL for humans
 
-HTTPie is a CLI frontend for [python-requests](python-requests.org).
+HTTPie is a CLI frontend for [python-requests](http://python-requests.org).
 
 
 ### Installation
","diff --git a/README.md b/README.md
index 2eb30c9..bc96484 100644
--- a/README.md
+++ b/README.md
@@ -1,6 +1,6 @@
 ## HTTPie: cURL for humans
 
-HTTPie is a CLI frontend for [python-requests](python-requests.org).
+HTTPie is a CLI frontend for [python-requests](http://python-requests.org).
 
 
 ### Installation
",No
repositories/httpie,httpie/httpie.py,Source Code,0577d0731634de3ef23d43e9573792e3845e93e8,e7dc59e0dbcee5ebb584cfa053a89404b2b9778f,Fixed a typo.,,,No
repositories/httpie,httpie/httpie.py,Source Code,3f0d621c5a366eb555f1ef5b23de1b7aa1881815,1a205e4cb30b5018ecee4e68a932ae498ac47e06,Fixed a typo.,,,No
repositories/httpie,setup.py,Source Code,3f0d621c5a366eb555f1ef5b23de1b7aa1881815,1a205e4cb30b5018ecee4e68a932ae498ac47e06,Fixed a typo.,"diff --git a/setup.py b/setup.py
index db60cbe..debf950 100644
--- a/setup.py
+++ b/setup.py
@@ -1,7 +1,7 @@
 from setuptools import setup
 
 
-setup(name='httpie',version='0.1',
+setup(name='httpie',version='0.1.1',
     description='cURL for humans',
     url='https://github.com/jkbr/httpie',
     author='Jakub Roztocil',
","diff --git a/setup.py b/setup.py
index db60cbe..debf950 100644
--- a/setup.py
+++ b/setup.py
@@ -1,7 +1,7 @@
 from setuptools import setup
 
 
-setup(name='httpie',version='0.1',
+setup(name='httpie',version='0.1.1',
     description='cURL for humans',
     url='https://github.com/jkbr/httpie',
     author='Jakub Roztocil',
",No
repositories/httpie,README.md,README,b80d27a4ca7241c7ca5f5dd7ca06fc25e8a38e8b,3f0d621c5a366eb555f1ef5b23de1b7aa1881815,Update README.md,"diff --git a/README.md b/README.md
index bc96484..2a25aeb 100644
--- a/README.md
+++ b/README.md
@@ -2,6 +2,8 @@
 
 HTTPie is a CLI frontend for [python-requests](http://python-requests.org).
 
+![httpie](https://github.com/jkbr/httpie/raw/master/httpie.png)
+
 
 ### Installation
 
@@ -33,7 +35,3 @@ The data to be sent can also be passed via `stdin`:
 
 Most of the flags mirror the arguments you would use with `requests.request`. See `httpie -h` for more details.
 
-
-### Screenshot
-
-![httpie]","diff --git a/README.md b/README.md
index bc96484..2a25aeb 100644
--- a/README.md
+++ b/README.md
@@ -2,6 +2,8 @@
 
 HTTPie is a CLI frontend for [python-requests](http://python-requests.org).
 
+![httpie](https://github.com/jkbr/httpie/raw/master/httpie.png)
+
 
 ### Installation
 
@@ -33,7 +35,3 @@ The data to be sent can also be passed via `stdin`:
 
 Most of the flags mirror the arguments you would use with `requests.request`. See `httpie -h` for more details.
 
-
-### Screenshot
-
-![httpie]",No
repositories/httpie,README.md,README,3c50d590e76a63553162048bce3f0e0eef2abdf1,b80d27a4ca7241c7ca5f5dd7ca06fc25e8a38e8b,Fixed README,"diff --git a/README.md b/README.md
index 2a25aeb..0b0860d 100644
--- a/README.md
+++ b/README.md
@@ -12,11 +12,11 @@ HTTPie is a CLI frontend for [python-requests](http://python-requests.org).
 
 ### Usage
 
-    httpie [flags] METHOD [header:value data-field-name=value]* URL
+    httpie [flags] METHOD URL [header:value | data-field-name=value]*
 
 The default request `Content-Type` in `application/json` and data fields are automatically serialized as a JSON `Object`, so this:
 
-    httpie PATC","diff --git a/README.md b/README.md
index 2a25aeb..0b0860d 100644
--- a/README.md
+++ b/README.md
@@ -12,11 +12,11 @@ HTTPie is a CLI frontend for [python-requests](http://python-requests.org).
 
 ### Usage
 
-    httpie [flags] METHOD [header:value data-field-name=value]* URL
+    httpie [flags] METHOD URL [header:value | data-field-name=value]*
 
 The default request `Content-Type` in `application/json` and data fields are automatically serialized as a JSON `Object`, so this:
 
-    httpie PATC",No
repositories/httpie,README.md,README,75e09a4ac14b074bdf95b64229bbd9de81d33faf,3c50d590e76a63553162048bce3f0e0eef2abdf1,Fixed README.,"diff --git a/README.md b/README.md
index 0b0860d..3f9e8b6 100644
--- a/README.md
+++ b/README.md
@@ -16,7 +16,7 @@ HTTPie is a CLI frontend for [python-requests](http://python-requests.org).
 
 The default request `Content-Type` in `application/json` and data fields are automatically serialized as a JSON `Object`, so this:
 
-    httpie PATCH name=John api.example.com/person/1 X-API-Token:123
+    httpie PATCH api.example.com/person/1 X-API-Token:123 name=John
 
 Will issue the following request","diff --git a/README.md b/README.md
index 0b0860d..3f9e8b6 100644
--- a/README.md
+++ b/README.md
@@ -16,7 +16,7 @@ HTTPie is a CLI frontend for [python-requests](http://python-requests.org).
 
 The default request `Content-Type` in `application/json` and data fields are automatically serialized as a JSON `Object`, so this:
 
-    httpie PATCH name=John api.example.com/person/1 X-API-Token:123
+    httpie PATCH api.example.com/person/1 X-API-Token:123 name=John
 
 Will issue the following request",No
repositories/httpie,README.md,README,65a2fc70426aec7c99eb3b67bb20effd9df3150f,75e09a4ac14b074bdf95b64229bbd9de81d33faf,Update README.md,"diff --git a/README.md b/README.md
index 3f9e8b6..164ff7d 100644
--- a/README.md
+++ b/README.md
@@ -14,7 +14,7 @@ HTTPie is a CLI frontend for [python-requests](http://python-requests.org).
 
     httpie [flags] METHOD URL [header:value | data-field-name=value]*
 
-The default request `Content-Type` in `application/json` and data fields are automatically serialized as a JSON `Object`, so this:
+The default request `Content-Type` is `application/json` and data fields are automatically serialized","diff --git a/README.md b/README.md
index 3f9e8b6..164ff7d 100644
--- a/README.md
+++ b/README.md
@@ -14,7 +14,7 @@ HTTPie is a CLI frontend for [python-requests](http://python-requests.org).
 
     httpie [flags] METHOD URL [header:value | data-field-name=value]*
 
-The default request `Content-Type` in `application/json` and data fields are automatically serialized as a JSON `Object`, so this:
+The default request `Content-Type` is `application/json` and data fields are automatically serialized",No
